,-9.6493,-14.9741,0.0002,-15
1770662181,-3.3909,9.4754,0.0004,10
1770662181,-3.646,10.2657,0.0001,10
1770662182,-3.5806,9.7792,0.0009,10
1770662183,-2.07,10.0693,0.0011,10
1770662183,-1.8934,9.3346,0.0011,10
1770662184,-3.3844,9.3176,0.0016,10
1770662185,-3.7114,9.579,0.0016,10
1770662186,-3.1948,11.5178,0.0012,10
1770662187,-3.0378,9.6693,0.0002,10
1770662187,0.9709,-2.3834,0.0042,0
1770662188,9.7143,-0.2527,0.0004,0
1770662189,9.6947,-4.9395,0,-5
1770662190,9.7143,-5.0107,0.0007,-5
1770662190,9.7012,-4.7554,0.0022,-5
1770662191,9.7208,-4.7544,0.0007,0
1770662192,9.747,0.1069,0.0009,0
1770662192,9.7274,0.2652,0.0002,10
1770662193,3.2532,11.6154,0.0054,10
1770662194,-0.4808,9.8584,0,10
1770662195,-0.5397,11.0052,0.0013,10
1770662195,-0.507,11.0655,0.003,10
1770662196,-0.4547,10.2093,0.0014,10
1770662197,-0.6509,9.8275,0.0014,10
1770662198,-0.6705,9.9577,0.0017,10
1770662198,-0.7817,9.8327,0.0016,10
1770662199,-0.6247,10.1844,0.0003,10
1770662200,-0.8732,9.906,0.0011,10
1770662201,-1.3702,9.4587,0.0005,10
1770662201,-2.2531,10.139,0.0007,10
1770662202,-9.7212,9.2646,0.0014,10
